X,Y,ID,X,Y
365398.3429,5500049.21,,365398.3429,5500049.21
365394.4838,5500050.257,,365394.4838,5500050.257
365411.4201,5500047.649,,365411.4201,5500047.649
365425.5336,5500049.518,,365425.5336,5500049.518
365444.7171,5500051.267,,365444.7171,5500051.267
365461.3858,5500063.609,,365461.3858,5500063.609
365477.3654,5500075.35,,365477.3654,5500075.35
365496.3287,5500088.463,,365496.3287,5500088.463
365517.5174,5500100.526,,365517.5175,5500100.526
365537.6612,5500116.744,,365537.6612,5500116.743
365517.2513,5500136.592,,365517.2513,5500136.592
365499.1628,5500120.553,,365499.1628,5500120.553
365482.7169,5500104.726,,365482.717,5500104.726
365463.0814,5500090.239,,365463.0814,5500090.239
365446.1362,5500080.339,,365446.1362,5500080.339
365425.4077,5500067.912,,365425.4077,5500067.912
365409.6989,5500060.62,,365409.6989,5500060.62
363839.3727,5500084.118,,363839.3727,5500084.118
363837.7351,5500090.994,,363837.7351,5500090.994
363835.742,5500097.137,,363835.742,5500097.137
363833.6421,5500104.303,,363833.6421,5500104.303
363834.2902,5500109.657,,363834.2902,5500109.657
363838.0562,5500112.43,,363838.0562,5500112.43
363840.9815,5500103.291,,363840.9815,5500103.291
363842.8419,5500097.46,,363842.8419,5500097.46
363847.6004,5500095.32,,363847.6004,5500095.32
363845.2172,5500088.631,,363845.2172,5500088.631
363848.8606,5500087.798,,363848.8606,5500087.798
363839.7911,5500083.36,,363839.7911,5500083.36
363955.8019,5499976.746,,363955.8019,5499976.746
363978.5678,5499930.982,,363978.5678,5499930.982
363919.9263,5499863.318,,363919.9263,5499863.317
363895.886,5499886.909,,363895.886,5499886.91
363865.6778,5499835.96,,363865.6778,5499835.96
363853.9755,5499899.869,,363853.9755,5499899.869
