,frame,Top_Left,Top_Right,Bottom_Right,Bottom_Left
0,0,[1937    0],[792 646],[1663 2169],[2802 1523]
1,1,[1920   -6],[758 653],[1652 2180],[2782 1508]
2,2,[1900  -27],[718 629],[1643 2153],[2743 1487]
3,3,[1893  -45],[725 639],[1658 2138],[2747 1470]
4,4,[1882  -24],[758 688],[1688 2155],[2783 1466]
5,5,[1867   32],[804 752],[1745 2206],[2850 1474]
6,6,[1871   -5],[815 742],[1763 2163],[2876 1452]
7,7,[1845  -24],[736 719],[1725 2157],[2802 1433]
8,8,[1810  -38],[633 679],[1682 2131],[2704 1406]
9,9,[1797  -67],[615 672],[1674 2107],[2677 1393]
10,10,[1775   12],[663 762],[1718 2176],[2719 1400]
11,11,[1758  114],[717 859],[1770 2289],[2784 1427]
12,12,[1741  178],[726 913],[1803 2341],[2803 1430]
13,13,[1718  188],[664 906],[1776 2373],[2760 1434]
14,14,[1694  159],[580 856],[1715 2307],[2677 1420]
15,15,[1737  170],[-108  879],[1470 2550],[2428 1279]
16,16,[1653  135],[483 841],[1666 2232],[2576 1392]
17,17,[1641  188],[517 906],[1729 2394],[2639 1418]
18,18,[1641  189],[548 914],[1745 2313],[2646 1393]
19,19,[1632  123],[475 851],[1715 2244],[2602 1369]
20,20,[1617   -9],[283 705],[1636 2145],[2503 1332]
21,21,[1600 -141],[133 596],[1572 1985],[2404 1289]
22,22,[1595 -144],[196 625],[1603 2035],[2436 1294]
23,23,[1613 -119],[377 731],[1676 1962],[2492 1262]
24,24,[1613  -17],[509 835],[1750 2049],[2580 1280]
25,25,[1614   45],[535 883],[1780 2151],[2623 1299]
26,26,[1609   60],[550 896],[1797 2210],[2652 1313]
27,27,[1604   94],[567 935],[1805 2155],[2631 1296]
28,28,[1604  141],[609 965],[1830 2177],[2657 1304]
29,29,[1606  134],[615 963],[1843 2183],[2673 1301]
30,30,[1597  117],[564 952],[1826 2175],[2638 1295]
31,31,[1587  101],[510 928],[1804 2252],[2629 1317]
32,32,[1585   40],[480 885],[1779 2135],[2588 1287]
33,33,[1578  -33],[417 826],[1745 2041],[2542 1263]
34,34,[1574  -81],[233 748],[1682 2292],[2543 1309]
35,35,[1549 -199],[156 642],[1653 2065],[2465 1265]
36,36,[1538 -270],[125 635],[1632 1930],[2410 1234]
37,37,[1542 -186],[288 737],[1697 1958],[2465 1236]
38,38,[1575  -88],[504 845],[1782 2023],[2581 1247]
39,39,[1595   27],[607 942],[1847 2120],[2668 1264]
40,40,[1586  133],[560 994],[1848 2194],[2634 1286]
41,41,[1578  153],[526 980],[1810 2198],[2596 1315]
42,42,[1580  191],[ 515 1008],[1810 2270],[2593 1336]
43,43,[1605  283],[651 971],[1678 2790],[2915 1645]
44,44,[1355  467],[ 577 1301],[1749 2526],[2771 1568]
45,45,[1367  429],[ 570 1295],[1726 2479],[2873 1577]
46,46,[1394  205],[ 701 1225],[1687 2453],[5772 2436]
47,47,[1365  321],[ 541 1245],[1658 2398],[2867 1592]
48,48,[1714 -237],[ 687 1527],[1567 2212],[2298 1394]
49,49,[1709 -190],[ 925 1745],[1608 2143],[2541 1169]
50,50,[1673  207],[ 815 1047],[1949 2259],[2810 1349]
51,51,[1680  193],[ 823 1043],[1956 2253],[2832 1340]
52,52,[ 5799 -5088],[-495 1807],[1557 1018],[1921  788]
53,53,[1675  115],[791 987],[1920 2162],[2784 1320]
54,54,[1675   71],[940 976],[1964 1974],[2843 1299]
55,55,[1704  148],[ 931 1062],[2014 2200],[2938 1308]
56,56,[1654  136],[-363 1682],[2315 3129],[2791 1242]
57,57,[1719  202],[ 973 1080],[2040 2224],[3019 1317]
58,58,[1706  152],[ 972 1063],[2027 2169],[2975 1308]
59,59,[1694  137],[ 899 1045],[1986 2171],[2907 1308]
60,60,[1686  112],[ 880 1028],[1977 2147],[2882 1299]
61,61,[1682  118],[ 887 1043],[1987 2157],[2890 1296]
62,62,[1671  167],[ 867 1077],[1972 2209],[2866 1314]
63,63,[1732  300],[ 819 1135],[1763 3185],[2974 1438]
64,64,[1662  287],[ 394 1200],[1931 2812],[2788 1324]
65,65,[1573  195],[ 329 1381],[1861 2375],[2841 1350]
66,66,[1554  234],[ 276 1400],[1831 2407],[2804 1370]
67,67,[1366  525],[ 635 1390],[1826 2527],[2857 1548]
68,68,[1344  306],[ 772 1321],[1820 2560],[7066 2935]
69,69,[1345  514],[ 573 1366],[1795 2507],[2774 1564]
70,70,[1324  255],[ 758 1307],[1802 2515],[6880 2788]
71,71,[1327  423],[ 585 1362],[1775 2437],[2818 1483]
72,72,[1324  234],[ 738 1284],[1837 2575],[7772 2633]
73,73,[1567  155],[ 655 1066],[1883 2229],[2684 1323]
74,74,[1569  106],[ 701 1060],[1897 2175],[2721 1298]
75,75,[1571   80],[ 727 1060],[1925 2159],[2767 1273]
76,76,[1564   21],[ 714 1037],[1929 2130],[2775 1251]
77,77,[1554  -40],[ 632 1012],[1898 2270],[2791 1278]
78,78,[1563  137],[410 996],[  -836 -21834],[4076 2124]
79,79,[1517  -57],[ 562 1012],[1885 2352],[2766 1288]
80,80,[1507  -39],[ 612 1041],[1859 2116],[2698 1238]
81,81,[1573  -72],[ 344 1303],[1593 2345],[2569 1251]
82,82,[1177  224],[ 480 1327],[1671 2343],[2800 1446]
83,83,[1129  207],[ 381 1318],[1595 2338],[2672 1469]
84,84,[1083  197],[ 295 1306],[1543 2338],[2536 1484]
85,85,[1063  239],[ 281 1332],[1543 2369],[2502 1487]
86,86,[1056  300],[ 315 1374],[1582 2415],[2556 1493]
87,87,[1052  328],[ 335 1394],[1604 2434],[2588 1484]
88,88,[1035  315],[ 305 1400],[1591 2439],[2570 1490]
89,89,[1020  350],[ 258 1409],[1566 2465],[2503 1505]
90,90,[998 349],[ 166 1420],[1510 2436],[2336 1505]
91,91,[976 379],[ 172 1422],[1516 2502],[2400 1530]
92,92,[960 392],[ 134 1432],[1511 2524],[2354 1541]
93,93,[945 444],[ 112 1467],[1506 2575],[2343 1552]
94,94,[926 471],[  59 1484],[1484 2613],[2293 1567]
95,95,[901 496],[  -3 1500],[1458 2649],[2243 1583]
96,96,[878 530],[ -44 1522],[1447 2697],[2211 1598]
97,97,[861 538],[ -66 1528],[1447 2710],[2203 1602]
98,98,[851 506],[ -66 1522],[1454 2673],[2196 1586]
99,99,[847 498],[ -34 1532],[1478 2658],[2226 1565]
